extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,778R-10,509,1,81578,2026-06-13T20:24:03Z,-23.56466,-46.6785245,20.13,84,nublado
20260613_172405,778R-10,509,1,81526,2026-06-13T20:23:29Z,-23.5859825,-46.802736499999995,20.13,84,nublado
20260613_172405,778R-10,509,1,81570,2026-06-13T20:23:55Z,-23.585531,-46.805667,20.13,84,nublado
20260613_172405,208M-10,2478,1,21242,2026-06-13T20:24:03Z,-23.526865,-46.6650945,20.13,84,nublado
20260613_172405,208M-10,2478,1,21005,2026-06-13T20:23:59Z,-23.550774,-46.675315499999996,20.13,84,nublado
20260613_172405,208M-10,2478,1,21009,2026-06-13T20:23:21Z,-23.502836,-46.623605,20.13,84,nublado
20260613_172405,208M-10,2478,1,21267,2026-06-13T20:23:53Z,-23.503519999999998,-46.634758375000004,20.13,84,nublado
20260613_172405,8050-10,33180,2,11036,2026-06-13T20:23:30Z,-23.4235045,-46.791183000000004,20.13,84,nublado
20260613_172405,8686-10,446,1,11767,2026-06-13T20:23:50Z,-23.508729250000002,-46.736591000000004,20.13,84,nublado
20260613_172405,8686-10,446,1,11766,2026-06-13T20:17:42Z,-23.531993,-46.6598645,20.13,84,nublado
20260613_172405,2023-10,35028,2,22821,2026-06-13T20:23:25Z,-23.403140999999998,-46.578585000000004,20.13,84,nublado
20260613_172405,2023-10,35028,2,22851,2026-06-13T20:23:39Z,-23.4597075,-46.602514,20.13,84,nublado
20260613_172405,2023-10,35028,2,22745,2026-06-13T20:23:40Z,-23.42123925,-46.589324000000005,20.13,84,nublado
20260613_172405,2023-10,35028,2,22853,2026-06-13T20:23:35Z,-23.39874,-46.578224,20.13,84,nublado
20260613_172405,2023-10,35028,2,22822,2026-06-13T20:23:44Z,-23.480465000000002,-46.6064045,20.13,84,nublado
20260613_172405,2023-10,35028,2,22732,2026-06-13T20:23:20Z,-23.430778250000003,-46.59381275,20.13,84,nublado
20260613_172405,5611-10,598,1,63589,2026-06-13T20:23:52Z,-23.552186,-46.634716,20.13,84,nublado
20260613_172405,5611-10,598,1,63340,2026-06-13T20:23:23Z,-23.7030885,-46.6444935,20.13,84,nublado
20260613_172405,5611-10,598,1,63373,2026-06-13T20:23:24Z,-23.687589250000002,-46.68061575,20.13,84,nublado
